
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

 -> Saving weights to ../checkpoints/2020-08-29/resnest50_fast_1s1x64d_conf5_3.pt


-------------   Fold 5 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=270s  	 loss=0.1097 	 val_loss=0.0252 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=269s  	 loss=0.0322 	 val_loss=0.0217 	 micro_f1=0.016 	 samples_f1=0.008
Epoch 3/40 	 lr=9.7e-04 	 t=270s  	 loss=0.0284 	 val_loss=0.0166 	 micro_f1=0.191 	 samples_f1=0.111
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.0238 	 val_loss=0.0145 	 micro_f1=0.363 	 samples_f1=0.236
Epoch 5/40 	 lr=9.2e-04 	 t=269s  	 loss=0.0202 	 val_loss=0.0130 	 micro_f1=0.479 	 samples_f1=0.349
Epoch 6/40 	 lr=8.9e-04 	 t=269s  	 loss=0.0191 	 val_loss=0.0108 	 micro_f1=0.546 	 samples_f1=0.415
Epoch 7/40 	 lr=8.7e-04 	 t=269s  	 loss=0.0163 	 val_loss=0.0104 	 micro_f1=0.573 	 samples_f1=0.438
Epoch 8/40 	 lr=8.4e-04 	 t=269s  	 loss=0.0165 	 val_loss=0.0100 	 micro_f1=0.605 	 samples_f1=0.487
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.0152 	 val_loss=0.0117 	 micro_f1=0.610 	 samples_f1=0.543
Epoch 10/40 	 lr=7.9e-04 	 t=269s  	 loss=0.0140 	 val_loss=0.0099 	 micro_f1=0.620 	 samples_f1=0.509
Epoch 11/40 	 lr=7.6e-04 	 t=270s  	 loss=0.0143 	 val_loss=0.0101 	 micro_f1=0.642 	 samples_f1=0.554
Epoch 12/40 	 lr=7.4e-04 	 t=270s  	 loss=0.0133 	 val_loss=0.0092 	 micro_f1=0.659 	 samples_f1=0.567
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.0123 	 val_loss=0.0085 	 micro_f1=0.687 	 samples_f1=0.591
Epoch 14/40 	 lr=6.8e-04 	 t=269s  	 loss=0.0128 	 val_loss=0.0099 	 micro_f1=0.666 	 samples_f1=0.585
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.0105 	 val_loss=0.0089 	 micro_f1=0.699 	 samples_f1=0.633
Epoch 16/40 	 lr=6.3e-04 	 t=268s  	 loss=0.0114 	 val_loss=0.0095 	 micro_f1=0.692 	 samples_f1=0.642
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.0104 	 val_loss=0.0084 	 micro_f1=0.714 	 samples_f1=0.631
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.0109 	 val_loss=0.0082 	 micro_f1=0.705 	 samples_f1=0.624
Epoch 19/40 	 lr=5.5e-04 	 t=269s  	 loss=0.0100 	 val_loss=0.0084 	 micro_f1=0.721 	 samples_f1=0.649
Epoch 20/40 	 lr=5.3e-04 	 t=268s  	 loss=0.0090 	 val_loss=0.0083 	 micro_f1=0.726 	 samples_f1=0.682
